,NAME_CAT,SMILE_CAT,NAME_ANI,SMILE_ANI,T,P,densiy (kg/m3),reference,,,,,,,,,,,,,,,,
53,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,273.15,101,1539.6,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
54,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,278.15,101,1534,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
55,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,283.15,101,1528.5,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
56,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,288.15,101,1523.9,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
57,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,293.15,101,1518.5,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
58,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298.15,101,1513.2,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
59,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,303.15,101,1508,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
60,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,313.15,101,1497.5,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
61,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,323.15,101,1487.1,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
62,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,333.15,101,1476.7,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
63,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,343.15,101,1466.5,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
64,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,353.15,101,1456.3,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
65,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,363.15,101,1446.1,"Nazet, A.; Sokolov, S.; Sonnleitner, T.; Makino, T.; Kanakubo, M.; Buchner, R. (2015) J. Chem. Eng. Data 60(8), 2400-2411.",,,,,,,,,,,,,,,,
66,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,288.15,101.325,1444,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
67,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293.15,101.325,1439.1,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
68,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.15,101.325,1434.3,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
69,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.15,101.325,1429.5,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
70,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,308.15,101.325,1424.7,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
71,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.15,101.325,1420,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
72,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,318.15,101.325,1415.2,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
73,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.15,101.325,1410.5,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
74,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,328.15,101.325,1405.8,"Santos, D.; Santos, M.; Franceschi, E.; Dariva, C.; Barison, A.; Mattedi, S. (2016) J. Chem. Eng. Data 61(1), 348-353.",,,,,,,,,,,,,,,,
